code,date,close,max,low,avg,volume,turnover in BEST,total turnover
ADIN,26.01.2015,367.00,367.00,367.00,367.00,25,9175,9175
ADIN,02.02.2015,367.00,367.00,367.00,367.00,575,211025,211025
ADIN,03.02.2015,367.00,367.00,367.00,367.00,396,145332,145332
ADIN,13.02.2015,367.00,367.00,367.00,367.00,50,18350,18350
ADIN,25.03.2015,375.00,375.00,375.00,375.00,5,1875,1875
ADIN,14.04.2015,310.00,310.00,310.00,310.00,100,31000,31000
ADIN,25.06.2015,250.00,250.00,250.00,250.00,576,144000,144000
ADIN,18.08.2015,265.00,265.00,265.00,265.00,1.467,388755,388755
ADIN,05.10.2015,300.00,300.00,300.00,300.00,100,30000,30000
ADIN,22.10.2015,300.00,300.00,300.00,300.00,446,133800,133800
ADIN,28.10.2015,299.00,299.00,299.00,299.00,330,98670,98670
ADIN,30.10.2015,299.00,299.00,299.00,299.00,50,14950,14950
ADIN,04.11.2015,270.00,270.00,270.00,270.00,1.167,315090,315090
ADIN,05.11.2015,290.00,290.00,290.00,290.00,100,29000,29000
ADIN,10.11.2015,290.00,290.00,290.00,290.00,200,58000,58000
ADIN,19.11.2015,290.00,290.00,290.00,290.00,54,15660,15660
ADIN,25.11.2015,345.00,345.00,345.00,345.00,60,20700,20700
ADIN,24.12.2015,345.00,345.00,345.00,345.00,10,3450,3450
ADIN,05.01.2016,345.00,345.00,345.00,345.00,50,17250,17250
ADIN,04.03.2016,311.00,311.00,311.00,311.00,50,15550,15550
ADIN,09.03.2016,340.00,340.00,340.00,340.00,90,30600,30600
ADIN,11.03.2016,339.00,339.00,339.00,339.00,41,13899,13899
ADIN,15.03.2016,338.00,338.00,338.00,338.00,30,10140,10140
ADIN,22.03.2016,335.00,335.00,335.00,335.00,30,10050,10050
ADIN,31.03.2016,325.00,325.00,325.00,325.00,1.115,362375,362375
ADIN,01.04.2016,300.00,300.00,300.00,300.00,1.150,345000,345000
ADIN,05.04.2016,300.00,300.00,300.00,300.00,750,225000,225000
ADIN,03.05.2016,299.00,299.00,299.00,299.00,500,149500,149500
ADIN,05.05.2016,300.00,300.00,300.00,300.00,70,21000,21000
ADIN,18.05.2016,299.00,299.00,299.00,299.00,200,59800,59800
ADIN,23.05.2016,300.00,300.00,300.00,300.00,1.157,347100,347100
ADIN,31.05.2016,301.00,301.00,301.00,301.00,110,33110,33110
ADIN,01.06.2016,300.00,300.00,300.00,300.00,350,105000,105000
ADIN,03.06.2016,300.00,300.00,300.00,300.00,100,30000,30000
ADIN,23.06.2016,300.00,300.00,280.00,297.78,180,53600,53600
ADIN,05.08.2016,310.00,310.00,306.00,306.80,500,153400,153400
ADIN,08.08.2016,310.00,310.00,310.00,310.00,80,24800,24800
ADIN,10.08.2016,329.00,329.00,329.00,329.00,100,32900,32900
ADIN,15.08.2016,330.00,330.00,329.00,329.49,226,74464,74464
ADIN,23.08.2016,320.00,320.00,320.00,320.00,20,6400,6400
ADIN,25.08.2016,350.00,350.00,350.00,350.00,35,12250,12250
ADIN,01.09.2016,385.00,385.00,385.00,385.00,20,7700,7700
ADIN,06.09.2016,385.00,385.00,385.00,385.00,25,9625,9625
ADIN,05.10.2016,385.00,385.00,385.00,385.00,1.258,484330,484330
ADIN,06.10.2016,400.00,400.00,400.00,400.00,196,78400,78400
ADIN,19.10.2016,412.00,412.00,412.00,412.00,356,146672,146672
ADIN,21.10.2016,453.00,453.00,453.00,453.00,1.500,679500,679500
ADIN,26.10.2016,466.00,466.00,466.00,466.00,5,2330,2330
ADIN,31.10.2016,481.00,481.00,481.00,481.00,160,76960,76960
ADIN,01.11.2016,495.00,495.00,495.00,495.00,199,98505,98505
ADIN,02.11.2016,500.00,500.00,500.00,500.00,200,100000,100000
ADIN,09.11.2016,500.00,500.00,500.00,500.00,200,100000,100000
ADIN,14.11.2016,550.00,550.00,550.00,550.00,100,55000,55000
ADIN,15.11.2016,550.00,550.00,550.00,550.00,90,49500,49500
ADIN,18.11.2016,600.00,600.00,600.00,600.00,100,60000,60000
ADIN,14.12.2016,550.00,550.00,550.00,550.00,40,22000,7986550
ADIN,15.12.2016,550.00,550.00,550.00,550.00,672,369600,369600
ADIN,21.12.2016,605.00,605.00,605.00,605.00,8.428,5098940,5098940
ADIN,26.12.2016,605.00,605.00,605.00,605.00,1.599,967395,967395
ADIN,29.12.2016,665.00,665.00,665.00,665.00,50,33250,33250
ADIN,03.01.2017,731.00,731.00,731.00,731.00,40,29240,29240
ADIN,15.02.2017,731.00,731.00,731.00,731.00,40,29240,29240
ADIN,16.02.2017,750.00,750.00,750.00,750.00,60,45000,45000
ADIN,17.02.2017,728.00,728.00,728.00,728.00,30,21840,21840
ADIN,24.02.2017,707.00,707.00,707.00,707.00,20,14140,14140
ADIN,28.02.2017,707.00,707.00,707.00,707.00,30,21210,21210
ADIN,01.03.2017,686.00,686.00,686.00,686.00,490,336140,336140
ADIN,06.03.2017,730.00,730.00,630.00,692.50,40,27700,27700
ADIN,07.03.2017,730.00,730.00,730.00,730.00,155,113150,113150
ADIN,13.03.2017,657.00,657.00,657.00,657.00,15,9855,9855
ADIN,23.03.2017,639.00,639.00,639.00,639.00,5,3195,3195
ADIN,27.03.2017,700.00,700.00,700.00,700.00,5,3500,3500
ADIN,29.03.2017,639.00,639.00,639.00,639.00,127,81153,81153
ADIN,04.04.2017,640.00,640.00,640.00,640.00,1.000,640000,640000
ADIN,07.04.2017,601.00,601.00,601.00,601.00,10,6010,6010
ADIN,19.04.2017,640.00,640.00,640.00,640.00,666,426240,426240
ADIN,25.04.2017,680.00,680.00,680.00,680.00,18.308,12449440,12449440
ADIN,27.04.2017,680.00,680.00,680.00,680.00,1.288,875840,875840
ADIN,07.09.2017,659.00,659.00,659.00,659.00,100,65900,65900
ADIN,27.10.2017,550.00,550.00,550.00,550.00,500,275000,275000
ADIN,02.11.2017,550.00,550.00,550.00,550.00,30,16500,16500
ADIN,07.11.2017,566.00,566.00,566.00,566.00,600,339600,339600
ADIN,16.11.2017,550.00,550.00,550.00,550.00,10,5500,5500
ADIN,20.11.2017,550.00,550.00,550.00,550.00,350,192500,192500
ADIN,21.11.2017,540.00,540.00,540.00,540.00,120,64800,64800
ADIN,24.11.2017,534.00,534.00,534.00,534.00,200,106800,106800
ADIN,04.01.2018,518.00,518.00,518.00,518.00,350,181300,181300
ADIN,29.01.2018,490.00,490.00,490.00,490.00,110,53900,53900
ADIN,14.02.2018,490.00,490.00,490.00,490.00,200,98000,98000
ADIN,07.03.2018,490.00,490.00,490.00,490.00,50,24500,24500
ADIN,25.07.2018,558.00,558.00,558.00,558.00,105,58590,58590
ADIN,16.08.2018,558.00,558.00,558.00,558.00,320,178560,178560
ADIN,23.08.2018,574.00,574.00,574.00,574.00,500,287000,287000
ADIN,17.09.2018,557.00,557.00,557.00,557.00,360,200520,200520
ADIN,20.09.2018,560.00,560.00,560.00,560.00,500,280000,280000
ADIN,24.09.2018,560.00,560.00,560.00,560.00,15,8400,8400
ADIN,01.11.2018,618.00,618.00,618.00,618.00,360,222480,222480
ADIN,28.11.2018,700.00,700.00,700.00,700.00,270,189000,189000
ADIN,29.11.2018,700.00,700.00,700.00,700.00,80,56000,56000
ADIN,18.12.2018,660.00,660.00,660.00,660.00,400,264000,264000
ADIN,26.12.2018,660.00,660.00,660.00,660.00,50,33000,33000
ADIN,14.02.2019,660.00,660.00,660.00,660.00,1.000,660000,660000
ADIN,04.03.2019,691.00,691.00,691.00,691.00,380,262580,262580
ADIN,22.03.2019,691.00,691.00,691.00,691.00,100,69100,69100
ADIN,17.04.2019,648.00,648.00,648.00,648.00,150,97200,97200
ADIN,19.04.2019,648.00,648.00,648.00,648.00,20,12960,12960
ADIN,29.05.2019,700.00,700.00,700.00,700.00,885,619500,619500
ADIN,21.06.2019,679.00,679.00,679.00,679.00,400,271600,271600
ADIN,08.08.2019,620.00,620.00,620.00,620.00,1.504,932480,932480
ADIN,14.08.2019,620.00,620.00,620.00,620.00,100,62000,62000
ADIN,27.08.2019,660.00,660.00,660.00,660.00,2.940,1940400,1940400
ADIN,03.09.2019,679.00,679.00,679.00,679.00,115,78085,78085
ADIN,19.09.2019,660.00,660.00,660.00,660.00,300,198000,198000
ADIN,29.06.2020,600.00,600.00,600.00,600.00,300,180000,180000
ADIN,30.06.2020,618.00,618.00,618.00,618.00,1.000,618000,618000
ADIN,02.07.2020,618.00,618.00,618.00,618.00,150,92700,92700
ADIN,06.07.2020,618.00,618.00,618.00,618.00,100,61800,61800
ADIN,30.07.2020,618.00,618.00,618.00,618.00,200,123600,123600
ADIN,05.08.2020,618.00,618.00,618.00,618.00,2.400,1483200,1483200
ADIN,12.11.2020,666.00,666.00,666.00,666.00,15,9990,9990
ADIN,13.11.2020,700.00,700.00,700.00,700.00,185,129500,129500
ADIN,16.11.2020,700.00,700.00,700.00,700.00,300,210000,210000
ADIN,18.11.2020,700.00,700.00,700.00,700.00,340,238000,238000
ADIN,23.11.2020,699.00,699.00,699.00,699.00,200,139800,139800
ADIN,24.11.2020,700.00,700.00,700.00,700.00,360,252000,252000
ADIN,26.11.2020,700.00,700.00,700.00,700.00,70,49000,49000
ADIN,14.12.2020,679.00,679.00,679.00,679.00,25,16975,16975
ADIN,05.01.2021,679.00,679.00,679.00,679.00,22,14938,14938
ADIN,18.01.2021,690.00,690.00,690.00,690.00,40,27600,27600
ADIN,20.01.2021,690.00,690.00,690.00,690.00,129,89010,89010
ADIN,21.01.2021,690.00,690.00,690.00,690.00,129,89010,89010
ADIN,16.02.2021,701.00,701.00,701.00,701.00,50,35050,35050
ADIN,23.02.2021,731.00,731.00,731.00,731.00,168,122808,122808
ADIN,01.03.2021,750.00,750.00,750.00,750.00,170,127500,127500
ADIN,12.03.2021,750.00,750.00,750.00,750.00,50,37500,37500
ADIN,25.03.2021,750.00,750.00,750.00,750.00,450,337500,337500
ADIN,23.04.2021,750.00,750.00,750.00,750.00,50,37500,37500
ADIN,28.04.2021,750.00,750.00,750.00,750.00,120,90000,90000
ADIN,05.05.2021,750.00,750.00,750.00,750.00,50,37500,37500
ADIN,14.05.2021,633.00,633.00,633.00,633.00,100,63300,63300
ADIN,30.06.2021,661.00,661.00,661.00,661.00,50,33050,33050
ADIN,27.07.2021,652.00,652.00,652.00,652.00,50,32600,32600
ADIN,21.09.2021,681.00,681.00,681.00,681.00,50,34050,34050
ADIN,27.09.2021,700.00,700.00,700.00,700.00,61,42700,42700
ADIN,22.10.2021,700.00,700.00,700.00,700.00,30,21000,21000
ADIN,27.10.2021,700.00,700.00,700.00,700.00,61,42700,42700
ADIN,17.11.2021,700.00,700.00,700.00,700.00,50,35000,35000
ADIN,13.01.2022,704.00,704.00,704.00,704.00,25,17600,17600
ADIN,17.01.2022,711.00,711.00,711.00,711.00,30,21330,21330
ADIN,21.02.2022,732.00,732.00,732.00,732.00,30,21960,21960
ADIN,24.02.2022,750.00,750.00,750.00,750.00,120,90000,90000
ADIN,07.03.2022,750.00,750.00,750.00,750.00,100,75000,75000
ADIN,16.03.2022,751.00,751.00,751.00,751.00,1.100,826100,826100
ADIN,18.03.2022,760.00,760.00,760.00,760.00,550,418000,418000
ADIN,12.05.2022,782.00,782.00,782.00,782.00,10,7820,7820
ADIN,31.05.2022,805.00,805.00,805.00,805.00,50,40250,40250
ADIN,22.07.2022,815.00,815.00,815.00,815.00,10,8150,8150
ADIN,23.11.2022,815.00,815.00,815.00,815.00,200,163000,163000
ADIN,16.12.2022,816.00,816.00,816.00,816.00,400,326400,326400
ADIN,23.12.2022,840.00,840.00,840.00,840.00,120,100800,100800
ADIN,20.01.2023,840.00,840.00,840.00,840.00,95,79800,79800
ADIN,14.02.2023,722.00,722.00,722.00,722.00,505,364610,364610
ADIN,06.07.2023,850.00,850.00,850.00,850.00,100,85000,85000
ADIN,11.07.2023,865.00,865.00,865.00,865.00,70,60550,60550
ADIN,05.10.2023,1000.00,1000.00,1000.00,1000.00,100,100000,100000
ADIN,09.11.2023,1000.00,1000.00,1000.00,1000.00,200,200000,200000
ADIN,13.11.2023,1000.00,1000.00,1000.00,1000.00,260,260000,260000
ADIN,29.11.2023,1000.00,1000.00,1000.00,1000.00,600,600000,600000
ADIN,19.12.2023,1000.00,1000.00,1000.00,1000.00,100,100000,100000
ADIN,31.01.2024,1200.00,1200.00,1200.00,1200.00,295,354000,354000
ADIN,05.02.2024,1200.00,1200.00,1200.00,1200.00,153,183600,183600
ADIN,14.05.2024,1697.00,1697.00,1697.00,1697.00,50,84850,84850
ADIN,17.05.2024,1688.00,1688.00,1688.00,1688.00,76,128288,128288
